question,answer,comment
Do you have an information security program with written policies and procedures? if no please describe,yes,yes
In the past 3 years have you reported cyber incident data breach data loss or certification/indication of noncompliance to any governmental regulatory or other supervisory body? if yes please describe,no,no
Do you store or transfer our important to the environment outside of your IT systems such as third party or cloud environment?,yes,we use cloud environment
Do you have SSAE compliance ISO certification SOC2 or other similar documentation concering compliance and security? if yes please provide details,yes,we have ISO 27001 certification
Do you share or allow access to our important Information with any third party? If yes please describe.,yes,Halodoc shared data to third-party for identify verification and digital signature
Do you limit and periodically review user access privileges to important information? If no please describe.,yes,we conduct regular user access review
Do you have detection processes and procedures to ensureawareness of unauthorized access to our important information? If no please describe,yes,yes
Do you require multi-factor authentication in higher risk access suchaccess or access to critical information? If no please describe.,yes,yes
Do you conduct periodic vulnerability assessments and penetrationtesting using an independent third party? If no please describe.,yes,yes
Do you put any distributed denial-of- service (DDoS) attack prevention measures in place? If yes please describe.,yes,we have web application firewall in place
Do you put any intrusion detection and prevention systems (IDS/IPS) in place? if yes please describe.,yes,for we implemented aws guardduty for threat detection
Do you put malware prevention or detection measures in place? if yes please describe.,yes,we have EDR technologies installed on our endpoints
Are there any security measure in place on e-mail such as attachment restrictionor blocking black-listed sender?,yes,yes
Are there any technical controls to restrict employee's internet access suchweb filtering? If yes please describe.,yes,we use web filtering to prevent access to certain website
Do you provide security awareness training for all personnel handlingimportant information including business email scamcharge of preparing and processing remittance/payments at least annually? if yes please describe.,yes,yes
Do you provide for periodic cybersecurity personnel training for IT personel? if no please describe.,yes,yes
Do you have an incident response plan for the case of security incidents? if no please describe.,yes,yes
Do you maintain audit trails relative to the confidentiality integrity andof important information? If no please describe.,yes,yes
Do you have written business continuity and disaster recovery procedures that include the identification of critical business systems for your organization define RTO and RPO for the identified periodic testing of the procedures at least annually? If no please describe,yes,yes
Do you have information security policy/rules in place?,yes,yes
Do you conduct information security trainings periodically?,yes,Quarterly
Do you perform identification and certification of the user by ID and a password/fingerprint/multifactor authentication when access to a server and/or PC.,yes,yes
Will you be storing confidential information (including customers information) from AJSM electronically? e.g. Mainframe Computer Server PC External Storage Cloud Service Others Supplementary Item (⇒please specify )（※If yes please advise the type of the storage）,yes,If cloud service please confirm the name of the service provider (AWS)
Do you take security measures for servers and PCs to which data is save?,yes,Security configs and hardening
Do you take any security measure for receiving/providing data with us (AJSM) or your subcontractor (if e.g. Encryption Password protectionyes please provide such measures),no,We don’t have subcontractors
Are all your servers and PCs used for providing services to us (AJSM) protected with the most updated version of anti-virus software?,yes,yes
If your computers are connected to outside networks (including the connection in dedicated line and VPN) and have access to our customer database do you take following security measures including but not limited to below?,yes,yes
Do you have framework for any information security related incident to be promptly reported internally and to us (AJSM)?,yes,Halodoc Cybersecurity Playbook
(If any subcontractors) Please list up the all names of the subcontractors relevant to the service to us (AJSM). Do you require these subcontractors to have the same level of information security as yours under the service agreement with your subcontractors?,no,(no subcontractors)
"In the event of work from home do you require your employees to adhere to the following?
Prohibited from installing unauthorized file sharing software (Only applicable for corporate service providers) Prohibited from installing unauthorized file sharing software
Installed with the most updated version of the operating system applications and anti-virus software
Enabling WPA2 for home Wi-Fi connectivity.",yes,Installed with the most updated version of the operating system applications and anti-virus software
Is there a documented and published Information Security Strategy document that is aligned with the organization's IT strategy? If yes what is the date of its last update?,yes,last amended 9 May 2022
"Are there established information security policies that are developed in line with the applicable industry standards and regulations and reviewed on a periodic basis by management? If yes: 
a) Which industry standards were leveraged to develop the information security and privacy policies?
b) How are the policies accessed by employees contractors and third parties?
c) Please list the policy documents with last review date?",yes,"a) ISO 27001
b) Through company shared drive and internal wiki page"
Does the organization have an information security function responsible for security initiatives within the organization? If yes what are the number of dedicated security professionals in the information security function?,yes,10+
Does the organization have a process to approve exceptions to the established information security policies? If yes are these exceptions reviewed approved and tracked periodically?,yes,reviewed periodically
 Is there a data protection policy?,yes,KBJ 003 - Privacy and Personal data protection policy
Is there an IT risk management framework in place to define overall IT risk at an enterprise level? If yes who owns it?,yes,yes
"Is there a procedure in place to perform regular cyber risk assessments leveraging a common risk assessment framework? If yes:
a) Which framework(s) is leveraged for the cyber risk assessments?
b) Who performs the assessments?
c) When was the last assessment performed?",yes,yes
"Does the organization utilize Cloud services to store/process sensitive information? If yes 
Is a detailed list of cloud applications and services adopted by individual business units teams and employees identified and maintained within the software asset inventory? 
Who is responsible for maintaining the software asset inventory (change update removal)?",yes,Private only
Has the organization performed a cyber security due diligence / risk assessment of the services procured from the cloud service provider prior to onboarding? If yes describe the inputs considered to perform the risk assessment (e.g. contract SOC2 questionnaire etc.).,yes,Vendor VISA and SMKI
Has the organization identified and implemented additional information security measures to compliment those provided by the cloud services provider? If yes what are the additional measures.,yes,Based on the risk assessment there will be addiitional hardening program.
Has encryption been enabled for the sensitive data stored at rest in the cloud and in transit to the cloud? Also are communications that include the exchange of sensitive information with the cloud services transmitted through secure channels? If so what are they?,yes,yes
Does the organization maintain an inventory of its assets (physical and software) along with the relevant details such as asset owner and asset location? If yes is this inventory reviewed on a regular basis?,yes,Asset inventory with appropriate details is maintained and reviewed
Is there a process in place to support and define the request procurement deployment management and retirement of assets?,yes,A defined process exists to manage the asset lifecycle
Is the asset inventory integrated with SIEM and cyber threat intelligence capabilities ( for example SIEM alerts are tied back to specific assets that are traceable)? If yes what SIEM is in use,yes,yes
Does the organization have a configuration management program / policy defining minimum baseline standard configuration for information systems (such as operating system-workstations servers application network device database web server)?,no,Workload instances are updated automatically based on security patches available from AWS
Are information systems regularly scanned for malware? If yes which platform or tools are used and what is the frequency of scans? Are there procedures in place to update anti-malware systems regularly?,yes, Information systems contain anti-malware systems and EDR auto update
Are Firewall rules configured to safeguard against network intrusion(IDS/IPS)? What is the Firewall classification (Packet-filter/Proxy/gateways/Stateful packet inspection)?,yes,Network controls have been implemented. The firewall is Gateway and Proxy
"Are internal network-level controls based on network segmentation and network access controls.
Is VPN configured/mandated for secure remote access if yes (a) what is the authentication mechanism and encryption method. (b) Is split tunneling implemented on VPNs.
Are the controls managed internally or by a 3rd party?",yes,yes
Does the organization have a mechanism (such as tools and processes) in place for monitoring and controlling network traffic at the perimeter (either at the organization level -DMZ and / or security zones within the organization-VLANs)?,yes,Network access control appliances (e.g. IDS IDP and anti-DDOS attack controls) are in place
Are Data Loss Prevention (DLP) tools implemented within the organization system to detect and/or prevent data theft? If yes which tools are used?,yes,It has been implemented in Cloud storage
Are encryption techniques applied to protect the confidentiality of sensitive data passing over public and private networks?,yes,transmission of sensitive data over public or private network is encrypted
Does your organisation comply with information security standards such as: ISO27001 and/or ISO27701?,yes,yes
Has your organisation appointed a Data Protection Officer (DPO)? If yes who is the DPO and have their roles and responsibilities clearly defined within the organisation?,yes,DPO consists of a team comprising of PPGR Data Privacy and Legal team. All roles and responsibilities are clearly defined within Halodoc.
Does your organisation have certain standardised data protection policies and procedures to govern personal data processing?,yes,yes
Does your organisation have any mechanism in place that governs any personal data-related request complaint or communication from the data subject/individuals?,yes,Halodoc Privacy Policy (www.halodoc.com/kebijakan-privasi) covers scope for individuals to contact Halodoc in these queries.
Does your organisation have any mechanism in place to provide the information to the customer regarding the use and processing of their personal data? (for instance: the use of Privacy Policy),yes,the use of Privacy Policy (www.halodoc.com/kebijakan-privasi)
Does your organisation employ any technical and organisational measures to ensure the security of personal data in both electronic and physical forms (including data at rest and in transit)?,yes,Technical and organisational measures Halodoc implements include data encryption and access control.
Does your organisation have a standard procedure and timeframe for notifying controllers whose data may have been impacted by privacy or security incidents?,yes,We have an internal policy for it that documented on Data Breach Response and notification Guidelines ISDP-GRCDP.001/GL/VI-2022/000
Does your organisation have any documentation in place on what types of personal data are collected and how the data is being processed and disclosed?,yes,We have internal policy with specific clause that requires recording of personal data processing in KBJ-003.
Does your organisation have any mechanism in place to notify controllers prior to engaging a sub-processor(s)?,yes,We have a process to inform owners regarding change implementation
Does your organisation have any data protection and privacy policy that provides guidance regarding the re-disclosure reuse and sharing of customer information with external parties?,yes,We have internal policy for sharing of information with external parties in KBJ-003.
Does your organisation have a data retention policy that covers paper and electronic records (including e-mail) in support of the applicable regulations standards and contractual requirements? Has the data retention policy been fully implemented within your systems?,yes,yes
Does your organisation have a governed data disposal process upon the termination of the agreement and/or as instructed by the controller?,yes,yes
Does your organisation have any formal training for the employees to raise awareness on data protection and privacy?,yes,we have internal awareness program quarterly via webinar email blast or slack. We also have training program to increase the competency of personal data protection.
Does the organization have a data classification policy? If yes has all data been classified accordingly? If yes are information system security plans aligned with the classification?,yes,Information security plans are aligned with the data classification policy
Does the organization utilize third parties who (a) Have access to sensitive information or (b) Host sensitive data/information (e.g. benefits providers data center hosting providers BI vendors SaaS providers)?,yes,yes
Does the organization perform cyber security due diligence / risk assessments of the services procured from third parties prior to contract execution? If yes who performs the assessments?,yes,VISA by GRC
Prior to contract execution does the organization perform background checks on contractors and consultant employees where allowed by law?,yes,yes
Are third party risk or security assessments performed on a periodic basis? If yes (a) What is the frequency of the assessment? (b) When was the last assessment performed ?,yes,Annual performance last performance was on April 2022
Do the service agreements include a clear specification of all relevant terms conditions responsibilities and liabilities of both parties? Examples include: compliance audit reporting on-site review notification of change/risk SLAs data ownership insurance liability privacy dispute resolution problem reporting and escalation procedures ongoing monitoring and applicable regulatory requirements (e.g. regulator access)?,yes,All service agreement from third party has formalized agreement
Does the organization have policies and procedures for employee and contractor hiring termination code of conduct ethics and background screening?,yes,yes
"Are all employees provided periodic information security training and awareness as per the policies and procedures established by the organization? 
Does this apply to contractors as well? 
What is the frequency of such training and awareness activities?",yes,yes
Does the organization store or process any sensitive information within its facilities/premises? At any 3rd party facilities?,no,no
Is physical access to facilities restricted using access control measures such as badges biometrics etc.? Is the physical access list periodically reviewed and purged?,no,Halodoc does not store any physical based information in Halodoc office
"Does the organization have fire suppression systems smoke detectors and HVAC sensors in place for their critical facilities that store and process organizational data? If yes:
a) Who is notified and what is the notification mechanism ?
b) What is the escalation process in such scenarios ?",no,Halodoc does not store any physical based information in Halodoc office
Is a user ID prevented from containing PII or financial information or revealing the access level assigned to the user?,yes,User IDs are unique with no sensitive information
Are all employees provisioned access to information assets through authorization mechanisms based upon least privilege access control user roles and job descriptions?,yes,access provisioned based on least privilege
Is user access reviewed on a periodic basis? If yes what frequency? Is there a process in place to deprovision access to users that are not required per their job responsibility?,yes,Conducted on a once a month basis.
Are mechanisms in place to provision access to users based on the organizational roles assigned to them?,yes,all users are assigned roles and access is provisioned according to their roles
Is there a process established to appropriately grant and revoke temporary privileged access permissions? Does privileged access to information require approval from authorized approvers prior to being provisioned?,yes,Processed through ticketing system approval from system owner
Is multi-factor authentication mandated for access to sensitive information?,yes,Access to any sensitive information requires multi-factor authentication
Does the organization have a defined secure System (Software) Development Life Cycle (SDLC)? Are the developers trained on secure development practices (e.g. OWASP)? If yes what is the frequency of this training?,yes,A SDLC methodology exists with secure development guidelines. training is carried out once in 6 months
"Does the organization produces a design specification and security architecture that is in line with the organization’s security and enterprise architecture?
Does it accurately and completely describes the required security functionality and the allocation of security controls among physical and logical components?
Are the changes to the architecture notified and documented?Is the review of architecture in place to make sure that the systems are secured?",yes,A SDLC methodology exists with secure development guidelines
Does the organization develop data flow diagrams to understand the information flow within and between network segments as well as across the organization's perimeter to external parties?Does it include details more about the actors involved at different steps in a critical business process and whether these actor stores transmits or processes customer information.,yes,A SDLC methodology exists with secure development guidelines
Prior to deployment is a new software reviewed scanned for vulnerabilities or penetration tested and approved? If yes what third parties and/or tools are leveraged to perform the tests?,yes,All new systems are tested reviewed and approved prior to deployment
Does the organization have segregated development testing and production environments for information systems? Also does the organization restrain from using or obfuscate sensitive production data in non-production environments?,yes,Environments are segregated and sensitive production data is obfuscated in non-production environments
"Does the organization enforce segregation of duties for development testing and approval of modifications to information systems?
Do developers have access to production environments of information systems?",yes,Clear segregation of duties have been implemented
Is access restricted by IP address and/or through the use of multi-factor authentication for key applications that can be accessed through the internet (i.e. critical applications applications that contain sensitive personal information or applications that perform money movement)?,yes,yes
"Does the organization acceptance criteria for new information systems software updates and new versions? Also 
Is adequate security testing performed and the results accepted by business owners?",yes,yes
"Which of the following type of Personal Identifiable Information 
that will be used by the organization?",yes,Halodoc will be shared the phone number of GoTo Plus users from Tokopedia and Halodoc will utilize this for the purpose of cooperation.
"Is there any non-PII data that is considered by the organization
as important or classified information? (e.g client's contract 
payment receipt etc)",yes,yes
Does the organization has Authentication mechanism is in place for open communication?,yes,yes
Does the organization has a key rotation procedures in place?,yes,yes
Does the organization maintains any API / Technical Documentation ?IF so please provide the JIRA link for the same,yes,yes
Are there clearly defined roles and responsibilities for vulnerability management? If yes how often are vulnerability scans executed and are they performed by internal or external resources?,yes,Scans are provided daily based on our CVE management process.
Has a network penetration test been performed? If yes what is the frequency and when was the last penetration test?,yes,Every 6 months. Jan 2022
Has a network vulnerability assessment been performed? If yes what is the frequency and when was the last vulnerability assessment?,yes,Once a month
Is application/software whitelisting in place for the organization?,yes,yes
"Does the organization subscribe to information security special interest groups specialist security forums or professional associations? 
Are there any current subscriptions for risk intelligence ?",yes,yes
Does the organization have designated personnel and processes for managing the organization's reputation during and after a cybersecurity event?,yes,a designated team/personnel exists
Are security events collected across information systems and archived? Are defined administrator activities recorded and archived?,yes,Security events as well as admin activities are logged
Has a centralized Security Information and Events Management (SIEM) tool been implemented to monitor security events across information systems used by the organization? If yes (a) What are the implemented SIEM tools? & (b) Are the security events reviewed with corrective action when necessary?,yes,a centralized SIEM tool or monitoring tool has been implemented to collect logs 
Is there a process in place to scan information systems for known security vulnerabilities?,yes,regular vulnerability scanning is performed
"Does the security patch process includes a risk assessment to prioritize patches? If yes:
a) Describe the security patch process including the risk assessment and the tools used to prioritize patches and the implementation timeframe associated with each priority.
b) Does the patch management process cover all information systems and assets based on the vendor type OS and environment.
c) Is there a monitoring process in place to confirm all information systems and assets are patched to the appropriate level?",yes,yes
Do you have a documented Incident Management program in place for cyber security incidents that includes Incident classification guidelines and resolution timelines? Is the program document reviewed and approved by management on an annual basis?,yes,An Incident Management program is established and periodically reviewed. We have established an Incident Playbook
Is the plan tested at least annually and based on the gaps observed (if any) are there adequate remediation activities that are carried out to address those gaps?,yes,An Incident Management program is established and periodically reviewed. We have established an Incident Playbook
Are information systems (or the SIEM tool) configured to generate relevant real-time alerts and notifications with sufficient information to the incident management team upon detection of a security incident?,yes,automated processes exist to notify relevant teams of any security incidents
Is there a written security incident response plan with defined roles and responsibilities? If yes how often is the incident response plan tested and are the responsible personnel included in the test exercise?,yes,We have established an Incident Playbook
Does organization plan and conduct any incident response exercises and scenarios for the workforce involved in the incident response to maintain comfort in responding to real-world threats?Are there any recent incidents that has occured and if so- how was the incident dealt and resolved?,yes,Regularly conduct incident response exercises
Is there a defined procedure to perform post-mortem analysis of resolved incidents to gain learning and avoid similar incidents in the future?,yes,yes
Is there a 24/7 escalation process for security incident response from identification to closure?,yes,yes
Is there a documented business continuity and business recovery plan containing detailed action plans resource requirements forms and annexes for all aspects of the business and IT?,yes,A Business Continuity Plan exists with aforementioned inclusions
Is there a data backup policy that provide consistent rules for backup management to ensure backups are available when needed?,yes,yes
Do you periodically test the backups?,yes,yes
Error messages should be generic and it should not present any details of the internal state of the application,yes,Only non sensitive information is logged
Application may generate default error messages which might contain sensitive details. These messages should be replaced/suppressed with sanitized error messages.,yes,yes
"TLS must be used to protect and encrypt sensitive plaintext information in transit. It is recommended to use TLS for the end-to-end connection however TLS must implemented to secure the following:
• Authentication pages (before and after the user is authenticated)
• Once sensitive information are submitted before authentication (to ensure intruder cannot intercept and capture the sensitive details in plaintext)",yes,yes
Connection to the web application must not accept any connection via HTTP.,yes,yes
The main advantages of using strict-transport security header is to ensure that the browser does not communicate to the server over non-TLS connections. This helps reduce the risk of TLS stripping attacks as implemented by the sslsniff tool,yes,yes
Ensure masking of critical details such as PAN SSN Credit Card number etc. and ensure the details are encrypted in database. PCI DSS guidelines for credit/debit card related security controls should be implement where applicable.,yes,yes
When keys are stored in your system they must be properly secured and only accessible to the appropriate staff on a need to know basis.,yes,yes
Weak TLS ciphers must be disabled on all servers. For example SSL v2 has known weaknesses and is not considered to be secure. Additionally cryptographically weak ciphers and should not be used.,yes,yes
TLS certificates should be signed by a reputable certificate authority (“CA”). The name on the certificate should match the fully qualified domain name (“FQDN”) of the website. The certificate itself should be valid and not expired.,yes,yes
Cache control HTTP header should be disabled for the browser data caching within HTML page. In addition to that sensitive input fields should have autocomplete off. This control helps to avoid browser from capturing unnecessary credentials,yes,yes
Evaluation should be in place to ensure only required sensitive data is being transported or stored. It is recommended to use tokenization in order to reduce data exposure risks ,yes,yes
The application shouldn't have any sensitive authentication credentials hardcoded into the source code.,yes,yes
Application should prompt for reconfirmation of the password if there are any changes to the detail of users.,yes,yes
"Ensure a generic message is shown while resetting the password such as “You will receive a password reset email should the account exist” in place of a message such “The password reset link for your ID (johnsmith01) has been sent to you email”

note: This control is subject to business requirements.
",yes,yes
Strong passwords protect systems from being hacked through brute force methods. Password length should be configured to be 8 characters or more.,yes,yes
All accounts should be locked indefinitely after 3 or less failed attempts and would only be unlocked by the administrator. ,yes,yes
The connection between the processing layer (business logic tier) and database layer (data tier) of Web application must have authentication control. The credentials of business logic tier should be stored in centralized location and locked down.,yes,yes
The application and middleware must be configured to run with least privileges required to limit the impact in the event of a system compromise.,yes,yes
The application supports integration to directory service such as LDAP for user authentication.,no,no
The organization must be aware of MFA controls implemented by the provider to limit the chance of unauthorized access to the web application.,yes,yes
The application supports integration to Enterprise SSO (Single Sign On) platform for user authentication using standard protocol such as SAML and OpenID Connect.,yes,yes
Session tokens must be generated securely and appropriate in length.,yes,yes
New session token must be generated when the user authenticates to the system (application) as well as when the user privilege level changes,yes,yes
A user’s session must be closed after an inactive period of 15 or less minutes. ,yes,yes
It is highly recommended to implement the feature to detect multiple simultaneous sessions and if the feature detects there is a sign of session cloning attempts the session should be dropped wipe and the user requires to re-login again.,yes,yes
After user logs out from the application the session and corresponding data on the server must be destroyed/wipe in order to ensure the session cannot be revived.,yes,yes
Application should be designed whereby the Logout button is displayed and functioning on ever page. ,yes,yes
The session cookie should contains secure flags and HttpOnly to ensure the risk of session id being accessible to client-side scripts attack is minimal and that the data is being transfer only occurs via TLS encryption.,yes,yes
Each session cookie should be valid for a limited time.,yes,yes
"All output functions must contextually encode data before being sent to the user. 

note: This control helps to reduce the XSS attacks.
",yes,yes
User input field should be validated on the input content. For security purposes whitelisting is preferable compare to blacklisting. This means that application should accept data that meets a certain criteria only.,yes,yes
"In order to ensure the application is protected against SQL injection attacks SQL queries should pass user content into a bind variable. 

note: SQL queries should not be created dynamically using string concatenation. Similarly the SQL query string used in a bound or parameterized query should never be dynamically built from user input in order to ensure the application is protected against SQL injection attacks SQL queries should be made with user content passed into a bind variable.",yes,yes
"This control helps to reduce the risk of CSRF (Cross-site request forgery) attacks by embedding a random value into HTML form.
The value of the random token should not be known to attacker.",yes,yes
It is advisable to use encoding for all pages containing HTTP headers or meta tags within HTML. Encoding must be consistent such as the use of UTF-8. This control helps to reduce the risk of Cross-site scripting attacks,yes,yes
"If upload process is required for the Web application ensure the uploaded files are being validated in terms of size type contents as well as the file cannot override the destination path for the file. Below controls could be in place to avoid file upload attacks:
• Use a whitelist of allowed files
• Scan for Malware
• Randomize uploaded file names etc.
",yes,yes
"If user uploaded content is being hosted X-content-type-options should be used to help nosniff header that the browser does not try guessing the data type. 
note: Ensure server or application determines the data type",yes,yes
The source of the input must be validated before processing. For example if input is expected from a POST request do not accept the input variables from GET request. Ensure that the application should access only allowed HTTP Methods and prevent disallowed ones such as change of GET to POST PUT to DELETE etc. ,yes,yes
Application should avoid copying user-controllable data into HTTP response headers or else data should be strictly validated to prevent response header injection attacks. Failing to prevent this could also lead to cross-site scripting attacks.,yes,yes
X-Frame options header helps to prevent the content from being loaded by a foreign site in a frame such as <frame> <iframe> <embed> or <object>. This control reduces the risk of clickjacking attacks,yes,yes
